"filename", "language", "HTML", "YAML", "JavaScript", "Markdown", "JSON", "Properties", "vue", "CSS", "XML", "comment", "blank", "total"
"d:\kafeiy_blog\blog_client\.env", "Properties", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\kafeiy_blog\blog_client\.vercel\project.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\kafeiy_blog\blog_client\123.html", "HTML", 232, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 249
"d:\kafeiy_blog\blog_client\456.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\kafeiy_blog\blog_client\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"d:\kafeiy_blog\blog_client\package-lock.json", "JSON", 0, 0, 0, 0, 8726, 0, 0, 0, 0, 0, 1, 8727
"d:\kafeiy_blog\blog_client\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"d:\kafeiy_blog\blog_client\package\blogAdmin\index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\kafeiy_blog\blog_client\package\blogAdmin\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"d:\kafeiy_blog\blog_client\package\blogAdmin\src\main.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\kafeiy_blog\blog_client\package\blogAdmin\vite.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\kafeiy_blog\blog_client\package\blogFront\index.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\kafeiy_blog\blog_client\package\blogFront\package-lock.json", "JSON", 0, 0, 0, 0, 1578, 0, 0, 0, 0, 0, 1, 1579
"d:\kafeiy_blog\blog_client\package\blogFront\package.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"d:\kafeiy_blog\blog_client\package\blogFront\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"d:\kafeiy_blog\blog_client\package\blogFront\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\kafeiy_blog\blog_client\package\blogFront\src\api\api.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\KfyblogWaterfall.vue", "vue", 0, 0, 0, 0, 0, 0, 540, 0, 0, 28, 45, 613
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\basic\KfyTips.vue", "vue", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 12, 81
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\basic\KfyblogExplore.vue", "vue", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\basic\KfyblogImage.vue", "vue", 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\basic\button.vue", "vue", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\basic\input.vue", "vue", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 11, 98
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\card\KfyblogCarousel.vue", "vue", 0, 0, 0, 0, 0, 0, 8, 0, 0, 12, 5, 25
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\card\KfyblogModal.vue", "vue", 0, 0, 0, 0, 0, 0, 131, 0, 0, 13, 14, 158
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\control\KfyblogVideo.vue", "vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 10, 2, 37
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\dropdown\KfyblogDropdown.vue", "vue", 0, 0, 0, 0, 0, 0, 171, 0, 0, 15, 17, 203
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\dropdown\KfyblogDropdownItem.vue", "vue", 0, 0, 0, 0, 0, 0, 59, 0, 0, 13, 5, 77
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\layout\KfyblogAsideActions.vue", "vue", 0, 0, 0, 0, 0, 0, 130, 0, 0, 6, 6, 142
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\layout\KfyblogAsideFooter.vue", "vue", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\layout\KfyblogMenuHeader.vue", "vue", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 41
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\guest.vue", "vue", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\user.vue", "vue", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"d:\kafeiy_blog\blog_client\package\blogFront\src\components\user_info\vip.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\kafeiy_blog\blog_client\package\blogFront\src\main.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\kafeiy_blog\blog_client\package\blogFront\src\output.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1310, 0, 1, 1, 1312
"d:\kafeiy_blog\blog_client\package\blogFront\src\router\index.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 7, 61
"d:\kafeiy_blog\blog_client\package\blogFront\src\script\guest_role.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\article.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\identity.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 3, 5, 99
"d:\kafeiy_blog\blog_client\package\blogFront\src\store\user.js", "JavaScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 5, 6, 168
"d:\kafeiy_blog\blog_client\package\blogFront\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 7, 49
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\index.vue", "vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\auth.vue", "vue", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\login.vue", "vue", 0, 0, 0, 0, 0, 0, 205, 0, 0, 1, 25, 231
"d:\kafeiy_blog\blog_client\package\blogFront\src\views\user\register.vue", "vue", 0, 0, 0, 0, 0, 0, 93, 0, 0, 1, 11, 105
"d:\kafeiy_blog\blog_client\package\blogFront\tailwind.config.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 0, 20
"d:\kafeiy_blog\blog_client\package\blogFront\vite.config.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 1, 25
"d:\kafeiy_blog\blog_client\package\shard\utils\nprogress.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"d:\kafeiy_blog\blog_client\package\shard\utils\portal.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 3, 19
"d:\kafeiy_blog\blog_client\package\shard\utils\request.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 0, 12, 9, 82
"d:\kafeiy_blog\blog_client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\kafeiy_blog\blog_client\qodana.yaml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 19, 7, 30
"d:\kafeiy_blog\blog_client\share\HeartBeat.confg.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 4, 27
"d:\kafeiy_blog\blog_client\vite.config.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"Total", "-", 270, 4, 591, 3, 10362, 1, 1869, 1351, 1, 167, 289, 14908